实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
咸宁,咸宁,,Xian’ning City,,,桂花城,,,,,,,,,,,,,,,,,,421200,地级市,"中国华中地区,湖北省","长江东南岸,幕阜山北麓",咸安区、嘉鱼县、通城县、崇阳县、通山县、赤壁市,咸安区温泉街道双鹤路16号,九宫山、赤壁古战场、王氏宗祠,,,,,,,,,,
荆门,荆门,,Jingmen,,,荆楚门户,,,,,,,,,,,,,,,,,,,地级市,"中国华中地区,湖北省","湖北省中部,江汉平原西北部","2个市辖区、1个县,代管2个县级市",东宝区象山大道53号,白云楼、明显陵、绿林山风景区、黄仙洞、漳河风景区、岳飞城遗址,,,,,,孙兵[13] ,王祺扬[12] ,,,
当阳,当阳市,,Dangyang,,,麦城,,,,,,,,,,,,,,,,,,,县级市,湖北省宜昌市,荆山山脉之南、江汉平原向鄂西山地过渡地带,3个街道、7个镇,玉阳街道,长坂坡、玉泉寺、关陵庙、当阳桥等,,,,,,,,,,
黄石,黄石,,Huangshi,,,,,,,,,,,,,,,,,,,,,,地级市,"中国华中地区,湖北省","湖北省东南部,长江中游南岸","1个县级市,1个县,4个市辖区",下陆区杭州东路1号,仙岛湖、小雷山、阳新七峰山、磁湖、黄石国家矿山公园、东方山等,,,,,,吴锦,董卫民[9] ,,,
吉林,吉林省,,Jilin Province,,,白山松水,,,,,,,,,,,,,,,,,,220000,省,中国,中国东北平原中部,8个地级市、1个自治州[7] ,长春市宽城区新发路329号[8] ,长影世纪城、净月潭、伪满皇宫、松花湖、向海、长白山等,,,,,,,,,,
达卡,达卡,,Dhaka,,,清真寺之城、三轮车之都,,,,,,,BST,,,,,,,,,,,,首都,孟加拉国,位于恒河三角洲布里根加河北岸,,达卡专区,,,,,,,,,,,
西西里岛,西西里岛,,英:Sicily 意:Sicilia,,,,,,,,,,,,,,,,,,,,,,,,意大利南部、地中海西部,,,,,,,,,,,,,
吉隆坡,吉隆坡,,Kuala Lumpur[2] ,,,隆市[3] ,,,,,,,,,,,,,,,,,,,联邦直辖区[2] ,马来西亚[2] ,马来西亚半岛西海岸,吉隆坡市中心、蕉赖、武吉免登等,,吉隆坡石油双塔、独立广场、国家回教堂等,,,,,,拿督诺希山[3] ,,,,
西蒙兹,西蒙兹,,Simmonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗斯福,富兰克林·德拉诺·罗斯福,,Franklin Delano Roosevelt,,,"FDR,小罗斯福",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,黑龙江,,Heilongjiang,,,黑,,,,,,,,,,,,,,,,,,230000,省,东北地区,东北地区北部,12个地级市、1个地区,哈尔滨市南岗区中山路202号,北极村、漠河地质公园、呼玛河自然保护区、五大连池、扎龙湿地等,,,,,,,,,,
符拉迪沃斯托克,符拉迪沃斯托克,,"Владивосток(俄),Vladivostok(英)",,,海参崴,,,,,,,UTC+11,,,,,,,,,,,,滨海边疆区首府[1] ,俄罗斯滨海边疆区,"43°08′N,131°54′E",5个区,符拉迪沃斯托克城区,尤·伯连纳博物馆、涅维尔斯基将军纪念碑、太平洋舰队历史博物馆,,,,,,,,,,
绥芬河口岸,绥芬河口岸,,Suifenhe port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滨海,滨海新区,,Binhai New District,,,滨海,,,,,,,,,,,,,,,,,,,市辖区(副省级),中国华北地区,"环渤海地区中心带,天津市最东端","16个街道,5个镇",塘沽街道,天津滨海航母主题公园、天津极地海洋世界、海河外滩公园等,,,,,,,,,,
桃园机场,台湾桃园国际机场,,Taiwan Taoyuan International Airport,,,,,,,,,,,,,,,,,,,,,,,中国台湾省桃园市大园区,,,,,,,,,,,,,,
达米安,达米安·韦恩,,Damian Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰晤士河,泰姆河,,River Thames,,,伊希斯河,,,,,,,,,,,,,,,,,,,伦敦,英国,,,,,,,,,,,,,,
埃博拉,埃博拉病毒,,Ebola virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霍梅尼国际机场,伊玛目·霍梅尼国际机场,,Imam Khomeini International Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梅赫拉巴德国际机场,梅赫拉巴德国际机场,,فرودگاه بین‌المللی مهرآباد‎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥雅纳,奥雅纳,,Arup Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维多利亚港,维多利亚港,,Victoria Harbour,,,,,,,,,,,,,,,,,,,,,,,,香港岛和九龙半岛之间,,,幻彩咏香江,,,,,,,,,,
沙田大会堂,,沙田大会堂,,,,,,,,,,,,,,,,,,,,,,,,,新城市,,,,,,,,,,,,,
通菜街,通菜街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金鱼街,金鱼街,,,,,,,,,,,,,,,,,,,,,,,,,,香港的油尖旺区,,,,,,,,,,,,,
吐露港公路,吐露港公路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港科学园,香港科学园,,Hong Kong Science Park,,HKSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马里,马里共和国,,La République du Mali(法文)Republic of Mali(英文),,马里,,MLI,共和制,总统:易卜拉欣·凯塔;总理:布布·西塞,巴马科[1] ,1240000 km2,非洲,东西十二区,西非法郎[1] ,班巴拉人、颇尔人、塞努福人、萨拉考列人,伊斯兰教、拜物教,卡伊、库里克罗、锡加索塞古等,法语[1] ,"《为了非洲也为你,马里》",1960年9月22日[1] ,巴马科,,,,,,,,,,,,,,,,,,,
金紫荆广场,,金紫荆广场,,,,,,,,,,,,,,,,,,,,,,,,,香港岛,,,金紫荆广场,,,,,,,,,,
爱丁堡广场,爱丁堡广场,, Edinburgh Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律賓,,菲律宾共和国[6] ,,Republic of the Philippines[6] ,菲律宾,,PHL,总统制共和制,总统:罗德里戈·杜特尔特[6] ,大马尼拉市,29.97万平方公里[6] ,亚洲,UTC+8,菲律宾比索[6] ,马来人、他加禄人、伊洛人、邦邦牙人、维萨亚人、比科尔人[6] ,天主教[6] ,"宿务,达沃,奎松等",他加禄语、英语,《菲律宾民族进行曲》,1898年6月12日[6] ,,,,,,,,,,,,,,,,,,,,
"
拉各斯州",,拉各斯州,,,,,,,,,,,,,,,,,,,,,,,州,尼日利亚,尼日利亚西南部,,伊凯贾,,,,,,,,,,,
悉尼鱼市场,悉尼鱼市场,,Sydney Fish Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴塞尔,,巴塞尔,,,,,,,,,,,,,,,,,,,,,,,首府,瑞士巴塞尔州,瑞士北部边境,,,,,,,,,,,,,
盖特威克机场,盖特威克机场,,Gatwick Airport,,,,,,,,,,,,,,,,,,,,,,,英国英格兰西苏塞克斯郡,,,,,,,,,,,,,,
太古,太谷区,,Taigu Area,,,,,,,,,,,,,,,,,,,,,140703[9] ,市辖区,山西省晋中市,山西省中部,3镇6乡,明星镇箕城街,净信寺、光化寺、真圣寺、三多堂、孔祥熙宅院、安禅寺、无边寺等,,,,,,,,,,
西约克郡,,西约克郡,,,,,,,,,,,,,,,,,,,,,,,郡,英国英格兰,英国中部、英格兰北部,利兹、布拉德福德、韦克菲尔德等,,皇家军械博物馆、勃朗特故居、利兹市政厅等,,,,,,,,,,
斯德哥尔摩,,斯德哥尔摩,,,,北方威尼斯,,,,,,,,,,,,,,,,,,,首都,瑞典,瑞典南部,,,"市政厅,皇后岛宫,现代博物馆,老城,斯堪森露天博物馆",,,,,,斯特恩·诺丁,,,,
北亚,北亚,,Northern Asia / Северной,,,,,,,,,,,,,,,,,,,,,,,俄罗斯亚洲部分,,,,,,,,,,,,,,
大阪,,大阪,,,,,,,,,,,,,,,,,,,,,,,,日本近畿地方(关西地方),,,大阪府大阪市中央区大手前二丁目1番22号,天守阁、大阪城、道顿崛、四天王寺、天保山海游馆、大阪巨蛋等,,,,,,,,,,
亚历克斯,亚历克斯·帕蒂弗,,Alex Pettyfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳大利亚联邦,澳大利亚联邦[2] ,,Commonwealth of Australia[2] ,,澳大利亚、澳洲,,AUS,议会制君主立宪制,戴维·约翰·赫尔利(总督)、斯科特·莫里森(总理),堪培拉[2] ,7692000 km2[2] ,大洋洲,UTC+8至UTC+10,澳元[2] ,英裔澳大利亚人、亚裔澳大利亚人、澳洲原住民[2] ,基督新教、天主教,墨尔本、悉尼、布里斯班、珀斯、阿德莱德、达尔文、霍巴特等[2] ,英语[2] ,"《前进,美丽的澳大利亚》[3] ",1788年1月26日[2] ,,,,,,,,,,悉尼歌剧院、邦迪海滩、大堡礁,,,,,,,,,,
悉尼港,悉尼港,,Sydney Harbour,,,"杰克逊港,雪梨港",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨西哥市,墨西哥城,,"Ciudad de México,Mexico City",,,壁画之都,,,,,,,,,,,,,,,,,,,首都,墨西哥,墨西哥中南部高原的山谷中[2] ,,,国家宫、主教座堂、阿兹特克大神庙遗址,,,,,,,,,,
内尔岛,,内尔岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马桥,,马桥,,,,,,,,,,,,,,,,,,,,,,,镇,湖北省保康县,保康县西南部,,堰垭路,,,,,,,,,,,
檀香山,火奴鲁鲁,,Honolulu,,,檀香山(华人通称),,,,,,,,,,,,,,,,,,,首府,美国夏威夷州,夏威夷瓦胡岛东南部,阿伊亚、珍珠城、瓦伊帕胡、米里拉尼,檀香山,夏威夷主教博物馆、珍珠港纪念馆,,,,,,Peter Carlisle,,,,
肯特郡,,肯特郡,,,,,,,,,,,,,,,,英语,,,,,,,非都市郡,"大不列颠及北爱尔兰联合王国,英格兰",英格兰东南部,"梅德韦,坎特伯雷,多佛尔等",梅德斯通,"罗彻斯特城堡,利兹城堡",,,,,,,,,,
香港 ,香港,,Hong Kong,,,香江、香岛、东方之珠,,行政主导的代议民主制,,,,,GMT+8,港元(HK$),,,,,,,,,英美法系,,特别行政区,中国华南,"珠江三角洲东南部,珠江口东岸,南海北部","香港岛、九龙半岛、新界,共18区",香港岛中西区添马添美道2号,维多利亚港、香港迪士尼乐园、海洋公园、香港杜莎夫人蜡像馆等,,,,,,,,,,
香港公共图书馆,香港公共图书馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英國,大不列颠及北爱尔兰联合王国[1] ,,United Kingdom of Great Britain and Northern Ireland,,英国,,GBR,议会制君主立宪制,女王:伊丽莎白二世、首相:鲍里斯·约翰逊[6] ,伦敦[1] ,24.41万平方公里(包括内陆水域)[1] ,欧洲,东西十二区,英镑[1] ,英格兰人、威尔士人、苏格兰人、爱尔兰人[1] ,基督新教(圣公会、长老会)[1] ,"伯明翰,利兹,格拉斯哥,谢菲尔德,曼彻斯特,爱丁堡,利物浦等[1] ",英语[1] ,《天佑女王》,6月11日,伦敦,,英美法系,,,,,,,,,,,,,,,,,
英联邦,英联邦,,The Commonwealth of Nations,,,,,,,,,,,,,,,英语,,,,,,,,,,,,,,,,,,,,,,
矽谷,硅谷,,Silicon Valley,,,矽谷,,,,,,,太平洋时间  GMT-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,辽宁,,Liaoning,,,共和国长子、东方鲁尔、[3] ,,,,,,,,,,,,,,,,,,21[13] ,省,中国东北,"东北地区南部,黄渤海北岸",14个地级市,沈阳市皇姑区北陵大街45号,沈阳东陵、大连星海广场、本溪水洞、沈阳故宫、鞍山千山,,,,,,,,,,
长安街,长安街,,Chang An Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加利福尼亚湾,加利福尼亚湾,,Golfo de California,,,科尔特斯海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多哈市,多哈市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德克萨斯州,,得克萨斯州,,,,孤星之州,,,,,,,,,,,,,,,,,,,州,美利坚合众国,美国南部,"休斯敦,阿灵顿",奥斯汀,"河滨步道,达拉斯剧场中心",,,,格雷格·雅培,约翰·科宁、特德·克鲁兹,,,,,
斯堪的纳维亚半岛,斯堪的纳维亚半岛,,"丹麦语:Skandinaviske halvø,瑞典语:Skandinaviska halvön,挪威语:Den skandinaviske halvøy,芬兰语:Skandinavian niemimaa",,,,,,,,,,,,,,,,,,,,,,,,欧洲北部,,,,,,,,,,,,,挪威、瑞典、芬兰、冰岛、丹麦
珠峰,珠穆朗玛峰,,"Mount Qomolangma, Mount Everest",,,珠峰、圣母峰、萨加玛塔峰、朱母朗玛阿林,,,,,,,,,,,,,,,,,,,,,中国、尼泊尔交界,,,珠峰大本营、绒布寺、绒布冰川,,,,,,,,,,
珠穆朗玛峰,珠穆朗玛峰,,"Mount Qomolangma, Mount Everest",,,珠峰、圣母峰、萨加玛塔峰、朱母朗玛阿林,,,,,,,,,,,,,,,,,,,,,中国、尼泊尔交界,,,珠峰大本营、绒布寺、绒布冰川,,,,,,,,,,
吉布提,吉布提共和国,,The Republic of Djibouti,,吉布提,,DJI,总统制共和制,总统:伊斯梅尔·奥马尔·盖莱,吉布提市(Djibouti),23200 km2[3] ,非洲,UTC+3,吉布提法郎,伊萨族、阿法尔族,伊斯兰教,阿尔塔、塔朱拉等,法语、阿拉伯语,《Djibouti》,1977年6月27日,,,,,,,,,,,,,,,,,,,,
蒙特利尔,蒙特利尔,,Montreal,,,"满地可,北美巴黎,节日之城",,,,,,,,,,,,,,,,,,,市,加拿大魁北克省,渥太华河和圣劳伦斯河交汇处,,,"圣劳伦斯河,圣母大教堂,皇家山","麦吉尔大学,蒙特利尔大学",,,,,,,,,
亚速海,亚速海,,俄语:Азовское море,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帕劳共和国,帕劳共和国(帛琉共和国)[1] ,,Republic of Palau[1] ,,帕劳(帛琉),帛琉,PLW,总统制共和制,总统:小汤米·雷门格绍[1] ,梅莱凯奥克 (Melekeok)[1] ,465.55 km2,大洋洲,UTC+9,美元[1] ,密克罗尼西亚人[1] ,天主教、基督新教,"科罗尔,马卡拉尔,阿拉卡贝桑[1] ",日语、帕劳语[1] ,《我们的帕劳》,1994年10月1日,,,,,,,,,,,,,,,,,,,,
鄂木斯克市,鄂木斯克,,Омск,,,欧姆斯克,,,,,,,,,,,,,,,,,,,,鄂木斯克州,西伯利亚,,,尼古拉—哥萨克教堂,,,,,,,,,,
华盛顿特区,,华盛顿哥伦比亚特区,,,,华盛顿、华府、华都,,,,,,,,,,,,,,,,,,,首都、特区,美国,美国东北部,,马丁·路德·金大道(东南)2720号,白宫、国会山、林肯纪念堂、华盛顿纪念碑等,,,,,,穆丽尔·鲍泽,,,,
克利夫兰市,,克利夫兰,,,,森林城、西储都会、摇滚世界之都、C城,,,,,,,,,,,,,,,,,,,美国俄亥俄州最大城市,美国俄亥俄州,北美洲,,,,,,,,,,,,,
迈阿密市,,迈阿密市,,,,,,,,,,,东部标准时间(GMT/UTC 减 5 个小时),,,,,,,,,,,,,美国佛罗里达州,位于美国佛罗里达州东南比斯坎湾、佛罗里达大沼泽地和大西洋之间,,,迈阿密海滩,,,,,,,,,,
纳什维尔市,纳什维尔,,Nashville,,,音乐城市、南方的雅典,,,,,,,,,,,,,,,,,,,首府,田纳西州,美国中南部,戴维森县,,华纳公园、谢尔比公园、坎伯兰公园,,,,,,Karl Dean,,,,
盐湖城,,盐湖城,,,,The Beehive State,,,,,,,,,,,,,,,,,,,,美国犹他州,美国西部,盐湖县,盐湖城,"摩门圣殿,大盐湖,爱荷达瀑布城等",,,,,,,,,,
尼罗河,尼罗河,,Nile River,,,,,,,,,,,,,,,,,,,,,,,,非洲东北部,,,,,,,,,,,,,
东海,东海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
济州,济州特别自治道,,제주특별자치도(朝) / Jeju Special Self-Governing Province(英),,,,,,,,,,,,,,,,,,,,,,特别自治道,韩国,韩国南部的济州岛,"济州市,西归浦市等",济州市,"济州火山岛,汉拿山国立公园",,,,,,,,,,
黄海,黄海,,The Yellow Sea / 황해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渤海海峡,渤海海峡,,"Bohai Strait,Bohai Haixia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渤海,渤海,,Bohai Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东半岛,,山东半岛,,,,胶东半岛,,,,,,,,,,,,,,,,,,,,山东省,山东省东部、胶莱谷地以东,青岛、烟台、潍坊、威海、日照、东营等,,青岛栈桥、蓬莱阁、崂山、刘公岛、崆峒岛,,,,,,,,,,
辽东半岛,辽东半岛,,Liaodong Peninsula,,,,,,,,,,,,,,,,,,,,,,,,辽河口与鸭绿江口连线以南[1] ,,,,,,,,,,,,,
阿特拉斯,阿特拉斯,,Άτλας(希腊语)、Atlas(英语),,,亚特拉斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛杉矶县,,洛杉矶郡,,,,,,,,,,,,,,,,,,,,,,,县,美国加利福尼亚州南部,美国西南部太平洋沿岸,洛杉矶,洛杉矶市,圣费尔南多谷、唐人街、迪士尼乐园,,,,,,,,,,
澎湖,,澎湖县,,,,澎湖、澎县,,,,,,,,,,,,,,,,,,713600,县,台湾省,,1个市、5个乡,马公市,妈宫城;马公妈祖庙;通粱古榕,,,,,,,,,,
澎湖列岛,,澎湖列岛,,,,渔人岛、渔翁岛,,,,,,,,,,,,,,,,,,,中国台湾省,中国华东,台湾岛西部的台湾海峡中,澎湖县,马公市,观音亭、顺承门、孔庙,,,,,,,,,,
佛洛依德,西格蒙德·弗洛伊德,,Sigmund (Schlomo) Freud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄区,黄区,,Yellow-Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史泰登岛,斯塔滕岛,,Staten Island,,,,,,,,,,,,,,,,,,,,,,,美国纽约州纽约,曼哈顿以南,,,,,,,,,,,,,
阿布扎比,阿布扎比酋长国,,أبو ظبي(阿拉伯语)Abu Dhabi (英),,,阿布达比(港台译法),,,,,,,UTC+4,,,,,,,,,,,,酋长国,阿拉伯联合酋长国,阿联酋西部、南部、中部,阿布扎比市,阿布扎比市,谢赫扎伊德清真寺、法拉利主题公园、酋长皇宫酒店、首都之门,,,,,,,,,,
特拉维夫,特拉维夫-雅法,,Tel Aviv-Yafo,,,,,,,,,,,,,,,,,,,,,,,以色列,以色列西部,,,,,,,,,,,,,
京畿道,京畿道,,Gyeonggi Province,,,京畿[1] ,,,,,,,,,,,,,,,,,,,道,韩国,朝鲜半岛中西部,"水原市、高阳市、龙仁市、城南市、富川市等31个市,郡[3] ",水原市[3] ,"江华古墓遗址,华城,北汉山国立公园",,,,,,,,,,
佛州,,佛罗里达州,,,,Sunshine State,,,,,,,,,,,,,,,,,,,州,美国东南部,美国东南海岸,杰克逊维尔、迈阿密、奥兰多、塔拉哈西,,"珊瑚岛礁,棕榈海滩等",,,,查理·克里斯特,"比尔·纳尔逊,马克罗·鲁比奥",,,,,
圣克莱门特岛,圣克莱门特岛,,Sveti Klement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弗洛伊德,乔治·弗洛伊德,,George Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莱克查尔斯,,莱克查尔斯,,,,,,,,,,,,,,,,,,,,,,,市,路易斯安那州,美国路易斯安那州西南部,,,,,,,,,,,,,
斯普利特,斯普利特,,Split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑,黑龙江,,Heilongjiang,,,黑,,,,,,,,,,,,,,,,,,230000,省,东北地区,东北地区北部,12个地级市、1个地区,哈尔滨市南岗区中山路202号,北极村、漠河地质公园、呼玛河自然保护区、五大连池、扎龙湿地等,,,,,,,,,,
南沙,南沙群岛,,"Spratly Islands,越南语:Quần đảo Trường Sa,马来语、印尼语:Kepulauan Spratly;他加禄语:Kapuluang Spratly",,,万里石塘,,,,,,,,,,,,,,,,,,,,中国 南海,南海南部,,,永暑礁、美济礁等,,,,,,,,,,
北马其顿,,北马其顿共和国,,The Republic of North Macedonia,北马其顿,,MKD,议会制共和制,"总统:斯特沃·彭达罗夫斯基,总理:佐兰·扎埃夫",斯科普里,25713平方千米,欧洲,UTC+1,代纳尔(Denar),"马其顿族(64.18%),阿尔巴尼亚族(25.17%)",东正教,"比托拉,奥赫里德,库马诺沃,泰托沃,普里莱普等",马其顿语,《今天在马其顿之上》,9月8日,,,,,,,,,,,,,,,,,,,,
南海诸岛,,南海诸岛,,,,千里长沙  万里石塘 ,,,,,,,,,,,,,,,,,,,,中国海南省三沙市,,,,,,,,,,,,,,
西沙,西沙群岛,,Xisha Islands or Paracel Islands,,,千里长沙,,,,,,,,,,,,,,,,,,,,中国 南海,南海中部、海南省东南部,,,西沙海洋博物馆、收复西沙纪念碑,,,,,,,,,,
巴厘岛,巴厘岛,,Bali Island,,,巴莱岛、峇厘岛、峇里岛,,,,,,,,,,,,,,,,,,,省,印度尼西亚,"印度洋赤道南方8度,爪哇岛东部",乌布、布撒基寺、海神庙、库塔海滩,丹帕沙,"海神庙,圣泉庙,金银岛",,,,,,,,,,
叶卡捷琳堡,叶卡捷琳堡,,英语:Yekaterinburg、俄语:Екатеринбург,,,斯韦尔德洛夫斯克,,,,,,,,,,,,,,,,,,,"首府,联邦区中心",俄罗斯斯韦尔德洛夫斯克州,"乌拉尔山脉东麓,伊赛特河畔",7个行政区,,叶卡捷琳堡奠基者、滴血教堂、欧亚分界线碑,,,,,,波鲁诺夫,,,,
东盟,东南亚国家联盟,,Association of Southeast Asian Nations,,东盟(ASEAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海峡中线,海峡中线,,The Middle line of The Straits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西海,青海湖,,Qinghai Lake,,,,,,,,,,,,,,,,,,,,,,,中国青海,刚察县、共和县及海晏县交界处,,,,,,,,,,,,,
嘉手纳空军基地,嘉手纳空军基地,,Kadena Air Force Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台湾机场,台湾机场,,Taiwan airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路克空军基地,路克空军基地,,Luke Air Force Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中欧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亚细安,东南亚国家联盟,,Association of Southeast Asian Nations,,东盟(ASEAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大中华区,大中华区,,the Greater China,,,大中华地区或政治中国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成晓河,成晓河,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏洛特市,,夏洛特市,,,,,,,,,,,,,,,,,,,,,,,,美国东南部北卡罗莱纳州,,,,,,,,,,,,,,
尔湾,,尔湾,,,,"欧文,第二硅谷[1] ",,,,,,,,,,,,,,,,,,,市,美国加利福尼亚州橙县,橘郡中部,,,,,,,,,,,,,
尤马县,尤马县,,"Yuma County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩半岛,韩半岛,,한반도/Hanbando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梅嫩德斯,梅嫩德斯,,Menendez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,河北,,Hebei Province,,,燕赵、冀州,,,,,,,,,,,,,,,,,,,省,中华人民共和国,华北地区,11个地级市,河北省石家庄市长安区裕华东路113号[11] ,北戴河、白洋淀、清西陵、避暑山庄、西柏坡、山海关、野三坡等,,,,,,,,,,
三藩市,,旧金山,,,,三藩市、圣弗朗西斯科,,,,,,,GMT-7/-8,,,,,,,,,,,,市,美国加利福尼亚州,"37°N,122°W",,旧金山,"金门大桥,金门公园,九曲花街,旧金山唐人街,渔人码头",,,,,,MARK E. FARRELL[20] ,,,,
鱼钓岛,,钓鱼岛,,,,钓鱼台、钓鱼屿、钓鱼山,,,,,,,,,,,,,,,,,,,岛屿,中国东海地区,,"赤尾屿,黄尾屿,南小岛,北小岛",无人岛屿,钓鱼岛及附属岛屿,,,,,,,,,,
北卡罗来纳,,北卡罗来纳州,,,,“焦油脚跟之州” 或“老北州”,,,,,,,,,,,,,,,,,,,州,美国,美国东海岸中部,,罗利,大烟山国家公园,,,,,,,,,,
佐治亚,,佐治亚州,,,,南方帝国州,,,,,,,,,,,,,,,亚特兰大,,,,州,美国东南部,密西西比河以东,亚特兰大、梅肯、萨凡纳等,,,,,,内森·迪尔,,,,,,
康威,,康威,,kangwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海,中国海,,China Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东沙群岛,,东沙群岛,,,,"月牙岛,大东沙",,,,,,,,,,,,,,,,,,,,"广东省汕尾市城区(法定),台湾省高雄市旗津区(实际)[3] ",中国南海、珠江口东南方约315公里,东沙岛、东沙环礁、北卫滩、南卫滩,,东沙大王庙、长青亭、东沙图书馆,,,,,,,,,,
美国州,美国50个州闹独立,,50 states in the United States make an independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
